q	pval	q_NoSign	pval_NoSign	nsnp	dataset	gwas	contrasts	L	phenotype	covar	pc
-1.2718836108749	0.203414475776355	-0.300923209467326	0.763473051548042	939	HGDP1KG	q2	nfe-amr	pruneall	StandingHeight	FGr-LOCO	0
-0.351107307204184	0.725507846151457	0.191901638723711	0.847819253785387	790	HGDP1KG	q2	nfe-amr	pruneall	StandingHeight	FGr-LOCO	40
1.65433553632963	0.0980593564201235	1.49371330975062	0.135250568222601	1450	HGDP1KG	q2	sas-afr	pruneall	StandingHeight	no-FGr	0
-1.83702154387153	0.0662067150227527	-1.38391989445589	0.16638298435348	781	HGDP1KG	q2	sas-afr	pruneall	StandingHeight	no-FGr	40
-1.80635096465882	0.0708635357825532	-2.61885056517799	0.00882265867856538	1425	HGDP1KG	q2	sas-afr	pruneall	StandingHeight	FGr-LOCO	0
-1.85700122902498	0.0633109792273611	-1.45573417075164	0.145466119825998	788	HGDP1KG	q2	sas-afr	pruneall	StandingHeight	FGr-LOCO	40
-21.6229658968488	1.09227499496079e-103	-26.38581734085	1.9933001566808e-153	1450	HGDP1KG	q2	sas-amr	pruneall	StandingHeight	no-FGr	0
0.969481871514405	0.332304820918404	0.856702964399456	0.39160906462664	789	HGDP1KG	q2	sas-amr	pruneall	StandingHeight	no-FGr	40
-0.0429344857313034	0.96575375844816	-0.748774920338868	0.453992878324416	869	HGDP1KG	q2	sas-amr	pruneall	StandingHeight	FGr-LOCO	0
0.995636315865155	0.319426883015078	0.869988430152544	0.384306727031981	788	HGDP1KG	q2	sas-amr	pruneall	StandingHeight	FGr-LOCO	40
-11.9454743213773	6.85581087312916e-33	-14.0731283923391	5.55563270201457e-45	1450	HGDP1KG	q2	afr-amr	pruneall	StandingHeight	no-FGr	0
1.9031922613705	0.0570154625682135	1.79861752311149	0.0720792035272067	789	HGDP1KG	q2	afr-amr	pruneall	StandingHeight	no-FGr	40
0.536473186195533	0.591631562682436	0.26246898424955	0.792959894353	1297	HGDP1KG	q2	afr-amr	pruneall	StandingHeight	FGr-LOCO	0
2.02952882373766	0.0424044562277917	1.88787961310998	0.0590421140335492	791	HGDP1KG	q2	afr-amr	pruneall	StandingHeight	FGr-LOCO	40
50.0520838896745	0	67.6976060688463	0	1621	HGDP1KG	q3	eurasia-lat	pruneall	StandingHeight	no-FGr	0
0.212321435956386	0.83185627317571	-0.921222894726577	0.356934067459785	794	HGDP1KG	q3	eurasia-lat	pruneall	StandingHeight	no-FGr	40
-17.0450738829656	3.80263333167307e-65	-11.6518062061179	2.24646225551197e-31	1543	HGDP1KG	q3	eurasia-lat	pruneall	StandingHeight	FGr-LOCO	0
0.89845389815562	0.368943612874814	-0.140467149419248	0.888290906088361	800	HGDP1KG	q3	eurasia-lat	pruneall	StandingHeight	FGr-LOCO	40
-41.2083648183405	0	-49.342359466363	0	1621	HGDP1KG	q3	eurasia-long	pruneall	StandingHeight	no-FGr	0
-0.754490320672475	0.450554855308389	0.603603612740822	0.546107210328098	806	HGDP1KG	q3	eurasia-long	pruneall	StandingHeight	no-FGr	40
11.9428804219866	7.07305727184545e-33	6.8786912558684	6.04049140353011e-12	1512	HGDP1KG	q3	eurasia-long	pruneall	StandingHeight	FGr-LOCO	0
-0.690750416764173	0.489722399973023	0.618930556138232	0.535962107812212	804	HGDP1KG	q3	eurasia-long	pruneall	StandingHeight	FGr-LOCO	40
1.43690632033136	0.150744613808252	2.47331837150318	0.013386482947878	1624	HGDP1KG	q3	eur-lat	pruneall	StandingHeight	no-FGr	0
0.901969555824756	0.367073040280148	1.19038213385194	0.233896231923884	907	HGDP1KG	q3	eur-lat	pruneall	StandingHeight	no-FGr	40
-2.5207316056379	0.0117111140245103	-2.02746703511158	0.0426146724066518	1528	HGDP1KG	q3	eur-lat	pruneall	StandingHeight	FGr-LOCO	0
1.13811868506204	0.255070926869498	1.64163671009743	0.100665315071144	905	HGDP1KG	q3	eur-lat	pruneall	StandingHeight	FGr-LOCO	40
-15.6382986989353	3.99252817341938e-55	-20.2719656259957	2.27390648050065e-91	1624	HGDP1KG	q3	eur-long	pruneall	StandingHeight	no-FGr	0
0.124352021412063	0.901036559770668	0.382219002534644	0.702298927978893	890	HGDP1KG	q3	eur-long	pruneall	StandingHeight	no-FGr	40
