PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
26	-0.0044338208148321	1.96587670180384e-05	-0.0106314925825207	0.00176419159445713	0.0297028514443979	0.883044540473975	6.46253462534625e-05	SDS	e5	Han	even	all	pruneall
27	-0.00331777233841351	1.10076132895418e-05	-0.00951554059436666	0.00288025081756924	0.0297138590576874	0.883044540473975	6.45456454564546e-05	SDS	e5	Han	even	all	pruneall
28	0.00926225242571377	8.57893199976406e-05	0.0030644644196116	0.0154593288785128	0.0297996483776851	0.883044540473975	6.45032450324503e-05	SDS	e5	Han	even	all	pruneall
29	-0.00593730100736302	3.52515432520339e-05	-0.0121348183841649	0.000260672513308312	0.0298348999209371	0.883044540473975	6.44789447894479e-05	SDS	e5	Han	even	all	pruneall
30	0.00113532557131634	1.28896415288478e-06	-0.00506267398137403	0.0073332378976076	0.02983618888509	0.883044540473975	6.43520435204352e-05	SDS	e5	Han	even	all	pruneall
31	8.16626959785759e-05	6.66879591448931e-09	-0.00611630432787989	0.00627962344573187	0.0298361955538859	0.883044540473975	6.43306433064331e-05	SDS	e5	Han	even	all	pruneall
32	0.00256582697520567	6.58346806669306e-06	-0.00363219471537196	0.00876365153584228	0.0298427790219526	0.883044540473975	6.42972429724297e-05	SDS	e5	Han	even	all	pruneall
33	0.00611114295374733	3.73460682011357e-05	-8.68242630015799e-05	0.0123086406718888	0.0298801250901538	0.883044540473975	6.42323423234232e-05	SDS	e5	Han	even	all	pruneall
34	-0.00023970172381011	5.74569163975384e-08	-0.00643765608776223	0.00595827105630783	0.0298801825470702	0.883044540473975	6.42146421464215e-05	SDS	e5	Han	even	all	pruneall
35	-0.00493725599578788	2.43764967679434e-05	-0.0111348791862158	0.00126074651237089	0.0299045590438381	0.883044540473975	6.41844418444184e-05	SDS	e5	Han	even	all	pruneall
36	-0.000993036127014748	9.8612074955645e-07	-0.0071909557962422	0.00520495983662021	0.0299055451645876	0.883044540473975	6.41523415234152e-05	SDS	e5	Han	even	all	pruneall
