#FID	IID
2092458	2092458
6009551	6009551
1724731	1724731
4457132	4457132
5149649	5149649
5274146	5274146
4872330	4872330
2627736	2627736
4487559	4487559
4383517	4383517
4725534	4725534
2718224	2718224
2304344	2304344
1686989	1686989
1254336	1254336
1893033	1893033
2779676	2779676
4344602	4344602
4337253	4337253
5063254	5063254
1812615	1812615
5788624	5788624
2880169	2880169
3346907	3346907
4961346	4961346
4034865	4034865
3796367	3796367
4654091	4654091
3045421	3045421
2801283	2801283
2268489	2268489
3046592	3046592
2559518	2559518
4933971	4933971
3173808	3173808
3869275	3869275
2392312	2392312
1477638	1477638
1531239	1531239
3451002	3451002
1313824	1313824
5312992	5312992
2885962	2885962
4356932	4356932
3757608	3757608
3115892	3115892
5538888	5538888
1061753	1061753
4763818	4763818
2444775	2444775
1723329	1723329
3958201	3958201
1929793	1929793
2326763	2326763
3844786	3844786
2081058	2081058
1021992	1021992
3799421	3799421
2926345	2926345
4441805	4441805
1453575	1453575
4863485	4863485
3334479	3334479
4190181	4190181
2874339	2874339
5145778	5145778
1791291	1791291
3960621	3960621
1656072	1656072
5986137	5986137
1148249	1148249
2093482	2093482
4837397	4837397
1325147	1325147
2537092	2537092
1015832	1015832
5340356	5340356
1536019	1536019
4941155	4941155
3248741	3248741
5144656	5144656
4397969	4397969
5923580	5923580
3653503	3653503
4598164	4598164
1375834	1375834
3566673	3566673
3286617	3286617
1081586	1081586
5382866	5382866
1874198	1874198
2795191	2795191
3588824	3588824
3248591	3248591
4692978	4692978
3021645	3021645
4767050	4767050
5516217	5516217
5074440	5074440
5674854	5674854
4814839	4814839
5495405	5495405
2209416	2209416
2941374	2941374
2999562	2999562
5314108	5314108
3140594	3140594
2320580	2320580
1110330	1110330
5185068	5185068
1371018	1371018
3419702	3419702
3780278	3780278
5781135	5781135
1883840	1883840
3252005	3252005
2180545	2180545
3152265	3152265
1340252	1340252
2572977	2572977
5330951	5330951
3378203	3378203
3207340	3207340
1580991	1580991
1611071	1611071
4864662	4864662
5152977	5152977
4742170	4742170
2866214	2866214
3561858	3561858
5858076	5858076
2995021	2995021
5279228	5279228
5179914	5179914
1247420	1247420
5759707	5759707
5377170	5377170
5500410	5500410
2722997	2722997
3323673	3323673
2458819	2458819
4568733	4568733
1499878	1499878
4346747	4346747
3278302	3278302
2232875	2232875
5434464	5434464
1762781	1762781
5273632	5273632
4740214	4740214
3967555	3967555
3158110	3158110
5366543	5366543
1016114	1016114
3067563	3067563
3329239	3329239
1008003	1008003
4694589	4694589
5591505	5591505
4461158	4461158
5851886	5851886
3920846	3920846
1022952	1022952
2489327	2489327
2906365	2906365
3446585	3446585
2519585	2519585
1853635	1853635
3267756	3267756
1034762	1034762
4655195	4655195
2221324	2221324
1053670	1053670
1209982	1209982
3133229	3133229
4749146	4749146
5661340	5661340
1289873	1289873
2957265	2957265
3510738	3510738
2814534	2814534
3757424	3757424
4900868	4900868
1244249	1244249
3253000	3253000
1513263	1513263
5480500	5480500
1333401	1333401
4480343	4480343
4306629	4306629
3878305	3878305
5281465	5281465
5326070	5326070
2586382	2586382
4502311	4502311
